sBathroom,sBedroom,sBed Extension,sCloset,sDining,sFoyer,sHall,sKitchen,sLiving,sMaster Bedroom,sTv Room,sWashing,sWaking Cl,lBathroom,lBedroom,lBed Extension,lCloset,lDining,lFoyer,lHall,lKitchen,lLiving,lMaster Bedroom,lTv Room,lWashing,lWaking Cl,aBathroom,aBedroom,aBed Extension,aCloset,aDining,aFoyer,aHall,aKitchen,aLiving,aMaster Bedroom,aTv Room,aWashing,aWaking Cl,pBathroom,pBedroom,pBed Extension,pCloset,pDining,pFoyer,pHall,pKitchen,pLiving,pMaster Bedroom,pTv Room,pWashing,pWaking Cl,tBathroom,tBedroom,tBed Extension,tCloset,tDining,tFoyer,tHall,tKitchen,tLiving,tMaster Bedroom,tTv Room,tWashing,tWaking Cl,jBathroom,jBedroom,jBed Extension,jCloset,jDining,jFoyer,jHall,jKitchen,jLiving,jMaster Bedroom,jTv Room,jWashing,jWaking Cl,cBathroom,cBedroom,cBed Extension,cCloset,cDining,cFoyer,cHall,cKitchen,cLiving,cMaster Bedroom,cTv Room,cWashing,cWaking Cl,xBathroom,xBedroom,xBed Extension,xCloset,xDining,xFoyer,xHall,xKitchen,xLiving,xMaster Bedroom,xTv Room,xWashing,xWaking Cl,yBathroom,yBedroom,yBed Extension,yCloset,yDining,yFoyer,yHall,yKitchen,yLiving,yMaster Bedroom,yTv Room,yWashing,yWaking Cl,dBathroom,dBedroom,dBed Extension,dCloset,dDining,dFoyer,dHall,dKitchen,dLiving,dMaster Bedroom,dTv Room,dWashing,dWaking Cl,wBathroom,wBedroom,wBed Extension,wCloset,wDining,wFoyer,wHall,wKitchen,wLiving,wMaster Bedroom,wTv Room,wWashing,wWaking Cl
2.9,#N/A,#N/A,1.3,3.7,#N/A,1.8,3.7,6.21,4.7,#N/A,#N/A,#N/A,3.8,#N/A,#N/A,2.9,4.1,#N/A,2.9,4.2,11.01,6.41,#N/A,#N/A,#N/A,11.02,#N/A,#N/A,3.77,15.17,#N/A,5.2200003,15.54,68.3721,30.126999,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,0.45,0.9,#N/A,0.62,0.88,0.56,0.73,#N/A,#N/A,#N/A,0.071271926,#N/A,#N/A,0.0243825,0.09811208,#N/A,0.033760387,0.100505054,0.442197,0.19484656,#N/A,#N/A,#N/A,"Ha,Cl,Cl,", , ,"Mb,Ha,Ba,","Li,Cl,Ki,", ,"Li,Mb,Cl,Ba,Cl,","Li,Di,","Mb,Ha,Cl,Cl,Di,Ki,","Li,Ha,Cl,", , , ,"Ha,", , ,"Mb,","Li,Ki,", ,"Li,Mb,Ba,Cl,","Di,","Ha,Cl,Di,","Ha,Cl,", , , ,1.2,#N/A,#N/A,5.01,4.4,#N/A,3.4,8.51,1.7,6.31,#N/A,#N/A,#N/A,5.21,#N/A,#N/A,5.21,16.12,#N/A,8.11,16.12,9.91,5.21,#N/A,#N/A,#N/A,3.8,#N/A,#N/A,1.3,4.1,#N/A,2.9,4.2,11.01,6.41,#N/A,#N/A,#N/A,2.9,#N/A,#N/A,2.9,3.7,#N/A,1.8,3.7,6.21,4.7,#N/A,#N/A,#N/A
2.21,#N/A,0.98,0.98,#N/A,3.03,#N/A,3.11,4.91,4.5,#N/A,#N/A,#N/A,2.87,#N/A,1.47,3.03,#N/A,3.28,#N/A,4.42,8.76,4.83,#N/A,#N/A,#N/A,6.3427,#N/A,1.4406,2.9694,#N/A,9.9384,#N/A,13.7462,43.0116,21.735,#N/A,#N/A,#N/A,0.77,#N/A,0.67,0.32,#N/A,0.92,#N/A,0.7,0.56,0.93,#N/A,#N/A,#N/A,0.06394889,#N/A,0.014524536,0.029938329,#N/A,0.100201756,#N/A,0.13859306,0.4336551,0.21913841,#N/A,#N/A,#N/A,"Li,Cl,Ki,Bx,", ,"Li,Mb,Cl,Ba,","Mb,Ba,Bx,", ,"Li,Ki,", ,"Li,Li,Fo,Ba,","Mb,Fo,Ki,Ki,Ba,Bx,","Li,Cl,Bx,", , , ,"Bx,", ,"Mb,Cl,Ba,","Bx,", ,"Li,Ki,", ,"Fo,","Fo,","Bx,", , , ,6.06,#N/A,5.98,7.45,#N/A,2.62,#N/A,5.9,1.06,5.98,#N/A,#N/A,#N/A,10.16,#N/A,9.17,9.17,#N/A,13.1,#N/A,13.02,4.34,4.34,#N/A,#N/A,#N/A,2.21,#N/A,1.47,3.03,#N/A,3.28,#N/A,4.42,4.91,4.5,#N/A,#N/A,#N/A,2.87,#N/A,0.98,0.98,#N/A,3.03,#N/A,3.11,8.76,4.83,#N/A,#N/A,#N/A
2.29,#N/A,#N/A,1.06,#N/A,3.11,1.39,3.11,4.91,4.34,#N/A,#N/A,#N/A,2.78,#N/A,#N/A,2.95,#N/A,3.28,2.13,3.69,7.94,7.21,#N/A,#N/A,#N/A,6.3662,#N/A,#N/A,3.1269999,#N/A,10.2008,2.9607,11.4759,38.985397,31.2914,#N/A,#N/A,#N/A,0.82,#N/A,#N/A,0.36,#N/A,0.95,0.65,0.84,0.62,0.6,#N/A,#N/A,#N/A,0.060252666,#N/A,#N/A,0.029595375,#N/A,0.0965451,0.028021436,0.10861323,0.36897588,0.29615632,#N/A,#N/A,#N/A,"Cl,Ha,Cl,", , ,"Mb,Ha,Ba,", ,"Li,Ha,Cl,Ki,","Li,Mb,Cl,Cl,Ba,Fo,","Li,Fo,","Mb,Ha,Fo,Ki,","Li,Cl,Ha,", , , ,"Ha,", , ,"Mb,", ,"Li,Ki,","Mb,Cl,Ba,","Fo,","Fo,","Cl,Ha,", , , ,1.64,#N/A,#N/A,0.98,#N/A,5.32,3.93,8.6,5.32,0.98,#N/A,#N/A,#N/A,4.26,#N/A,#N/A,7.04,#N/A,4.26,5.98,4.26,7.37,8.11,#N/A,#N/A,#N/A,2.29,#N/A,#N/A,2.95,#N/A,3.28,1.39,3.69,4.91,4.34,#N/A,#N/A,#N/A,2.78,#N/A,#N/A,1.06,#N/A,3.11,2.13,3.11,7.94,7.21,#N/A,#N/A,#N/A
2.5,#N/A,#N/A,0.9,#N/A,3.1,1.5,3.2,5.31,4.9,#N/A,#N/A,#N/A,3.4,#N/A,#N/A,3.4,#N/A,3.4,2.2,5.01,9.71,6.21,#N/A,#N/A,#N/A,8.5,#N/A,#N/A,3.06,#N/A,10.54,3.3000002,16.032001,51.5601,30.429,#N/A,#N/A,#N/A,0.74,#N/A,#N/A,0.26,#N/A,0.91,0.68,0.64,0.55,0.79,#N/A,#N/A,#N/A,0.06787993,#N/A,#N/A,0.024436774,#N/A,0.08417112,0.026353385,0.12802954,0.41175246,0.24300218,#N/A,#N/A,#N/A,"Cl,Cl,Ha,", , ,"Mb,Ba,Ha,", ,"Li,Ki,","Li,Mb,Cl,Ba,Cl,","Li,Cl,Fo,","Mb,Cl,Ha,Ki,Fo,","Li,Cl,Ha,", , , ,"Ha,", , ,"Mb,", ,"Li,Ki,","Li,Mb,Ba,Cl,","Fo,","Ha,Fo,","Cl,Ha,", , , ,1.2,#N/A,#N/A,1.2,#N/A,9.91,4.6,4.9,6.11,1.2,#N/A,#N/A,#N/A,12.21,#N/A,#N/A,11.31,#N/A,14.81,11.31,14.71,5.11,5.11,#N/A,#N/A,#N/A,3.4,#N/A,#N/A,3.4,#N/A,3.4,1.5,5.01,5.31,4.9,#N/A,#N/A,#N/A,2.5,#N/A,#N/A,0.9,#N/A,3.1,2.2,3.2,9.71,6.21,#N/A,#N/A,#N/A
1.98,#N/A,#N/A,0.78,#N/A,1.8,#N/A,2.4,3.72,3.84,#N/A,#N/A,#N/A,3.72,#N/A,#N/A,3.84,#N/A,2.34,#N/A,3.54,6.49,4.32,#N/A,#N/A,#N/A,7.3656,#N/A,#N/A,2.9952,#N/A,4.212,#N/A,8.496,24.1428,16.5888,#N/A,#N/A,#N/A,0.53,#N/A,#N/A,0.2,#N/A,0.77,#N/A,0.68,0.57,0.89,#N/A,#N/A,#N/A,0.11544755,#N/A,#N/A,0.046946414,#N/A,0.066018395,#N/A,0.13316531,0.3784114,0.26001093,#N/A,#N/A,#N/A,"Li,Cl,Fo,", , ,"Li,Mb,Ba,", ,"Li,Ki,Ba,", ,"Li,Fo,","Mb,Cl,Ki,Fo,Ba,","Li,Cl,", , , ,"Fo,", , ,"Mb,", ,"Li,Ba,", ,"Li,","Mb,Ki,Fo,","Li,Cl,", , , ,5.41,#N/A,#N/A,5.41,#N/A,3.6,#N/A,0.12,1.68,5.41,#N/A,#N/A,#N/A,7.51,#N/A,#N/A,6.73,#N/A,8.89,#N/A,8.89,2.4,2.4,#N/A,#N/A,#N/A,1.98,#N/A,#N/A,3.84,#N/A,1.8,#N/A,3.54,3.72,3.84,#N/A,#N/A,#N/A,3.72,#N/A,#N/A,0.78,#N/A,2.34,#N/A,2.4,6.49,4.32,#N/A,#N/A,#N/A
2.03,#N/A,#N/A,#N/A,4.05,3.49,#N/A,3.94,5.07,5.74,#N/A,#N/A,#N/A,3.49,#N/A,#N/A,#N/A,5.29,3.6,#N/A,4.05,9.23,6.87,#N/A,#N/A,#N/A,7.0847,#N/A,#N/A,#N/A,21.424501,12.564,#N/A,15.957001,46.7961,39.433796,#N/A,#N/A,#N/A,0.58,#N/A,#N/A,#N/A,0.77,0.97,#N/A,0.97,0.55,0.84,#N/A,#N/A,#N/A,0.047454398,#N/A,#N/A,#N/A,0.14350457,0.08415558,#N/A,0.106882416,0.31344742,0.26413357,#N/A,#N/A,#N/A,"Li,Fo,", , , ,"Li,Ki,","Li,Mb,Ba,Ba,", ,"Li,Mb,Di,","Mb,Ki,Di,Fo,Ba,","Li,Ki,Fo,Ba,", , , ,"Li,", , , ,"Li,","Li,Mb,", ,"Li,","Ki,Di,Fo,Ba,","Fo,Ba,", , , ,6.87,#N/A,#N/A,#N/A,11.82,4.28,#N/A,7.88,7.88,2.14,#N/A,#N/A,#N/A,7.43,#N/A,#N/A,#N/A,14.64,9.57,#N/A,14.64,9.57,13.06,#N/A,#N/A,#N/A,3.49,#N/A,#N/A,#N/A,5.29,3.6,#N/A,3.94,9.23,5.74,#N/A,#N/A,#N/A,2.03,#N/A,#N/A,#N/A,4.05,3.49,#N/A,4.05,5.07,6.87,#N/A,#N/A,#N/A
2.19,#N/A,#N/A,1.09,2.64,#N/A,1.09,2.64,4.38,3.8,#N/A,#N/A,#N/A,2.38,#N/A,#N/A,2.96,2.9,#N/A,1.09,3.35,7.27,4.05,#N/A,#N/A,#N/A,5.2122,#N/A,#N/A,3.2264001,7.6560006,#N/A,1.1881001,8.844,31.8426,15.39,#N/A,#N/A,#N/A,0.92,#N/A,#N/A,0.37,0.91,#N/A,1,0.79,0.6,0.94,#N/A,#N/A,#N/A,0.07105029,#N/A,#N/A,0.043980785,0.10436303,#N/A,0.016195627,0.120557286,0.4340635,0.20978932,#N/A,#N/A,#N/A,"Li,Ki,Ha,Cl,", , ,"Mb,Ba,Ha,","Li,Ki,", ,"Li,Mb,Ba,Cl,","Di,Ba,","Mb,Di,Ba,Ha,","Li,Ha,Cl,", , , ,"Ha,", , ,0,"Li,Ki,", ,"Li,Mb,Ba,","Di,","Di,Ha,","Ha,", , , ,4.44,#N/A,#N/A,5.53,1.54,#N/A,4.44,4.44,0.06,4.44,#N/A,#N/A,#N/A,7.79,#N/A,#N/A,6.69,10.17,#N/A,6.69,10.17,2.9,2.9,#N/A,#N/A,#N/A,2.19,#N/A,#N/A,2.96,2.9,#N/A,1.09,3.35,4.38,4.05,#N/A,#N/A,#N/A,2.38,#N/A,#N/A,1.09,2.64,#N/A,1.09,2.64,7.27,3.8,#N/A,#N/A,#N/A
0.98,#N/A,#N/A,#N/A,3,1.28,#N/A,2.18,4.2,4.2,#N/A,#N/A,#N/A,2.48,#N/A,#N/A,#N/A,4.05,2.1,#N/A,3.3,6.53,4.43,#N/A,#N/A,#N/A,2.4304001,#N/A,#N/A,#N/A,12.150001,2.6879997,#N/A,7.1940002,27.425999,18.605999,#N/A,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,0.74,0.61,#N/A,0.66,0.64,0.95,#N/A,#N/A,#N/A,0.0344765,#N/A,#N/A,#N/A,0.17235412,0.038130686,#N/A,0.10205066,0.38905215,0.26393583,#N/A,#N/A,#N/A,"Mb,Fo,", , , ,"Li,Ki,Fo,","Mb,Ki,Ba,Di,", ,"Fo,Di,","Di,","Ba,Fo,", , , ,"Fo,", , , ,"Li,Ki,","Mb,Ki,Ba,", ,"Fo,Di,","Di,","Fo,", , , ,5.33,#N/A,#N/A,#N/A,0.75,4.05,#N/A,0.75,0.6,5.33,#N/A,#N/A,#N/A,13.89,#N/A,#N/A,#N/A,9.76,12.76,#N/A,12.76,3.23,9.46,#N/A,#N/A,#N/A,2.48,#N/A,#N/A,#N/A,4.05,1.28,#N/A,3.3,4.2,4.2,#N/A,#N/A,#N/A,0.98,#N/A,#N/A,#N/A,3,2.1,#N/A,2.18,6.53,4.43,#N/A,#N/A,#N/A
1.74,3.3,1.26,0.78,#N/A,2.28,0.96,2.28,3.78,3.42,#N/A,#N/A,1.56,2.34,3.84,1.56,2.34,#N/A,2.52,1.68,2.94,6.37,4.8,#N/A,#N/A,2.16,4.0716,12.672,1.9655999,1.8251998,#N/A,5.7455997,1.6127999,6.7032,24.0786,16.416,#N/A,#N/A,3.3696,0.74,0.86,0.81,0.33,#N/A,0.9,0.57,0.78,0.59,0.71,#N/A,#N/A,0.72,0.04891763,0.15224585,0.023615407,0.021928592,#N/A,0.06902965,0.019376744,0.08053459,0.28928873,0.19722758,#N/A,#N/A,0.040483557,"Cl,Cl,Ha,Ki,","Li,Cl,Ha,","Li,Mb,Ba,Wc,","Be,Ba,Ha,", ,"Li,Ki,Ba,","Li,Be,Cl,Ba,Cl,","Li,Ba,Cl,Fo,","Mb,Be,Cl,Ha,Ki,Fo,Bx,","Li,Bx,Wc,", , ,"Mb,Ba,Bx,","Ha,","Cl,Ha,","Li,Mb,Ba,Wc,","Be,", ,"Li,Ki,","Li,Be,Ba,Cl,","Fo,","Ha,Fo,Bx,","Bx,", , ,"Bx,",0.3,0.3,7.39,0.3,#N/A,4.86,2.64,1.92,3.6,7.39,#N/A,#N/A,8.65,7.33,2.7,7.51,6.55,#N/A,9.07,6.55,9.07,2.7,2.7,#N/A,#N/A,7.51,2.34,3.3,1.26,2.34,#N/A,2.52,0.96,2.94,3.78,3.42,#N/A,#N/A,2.16,1.74,3.84,1.56,0.78,#N/A,2.28,1.68,2.28,6.37,4.8,#N/A,#N/A,1.56
1.98,3.6,#N/A,0.99,#N/A,2.7,1.08,3.33,4.05,3.6,#N/A,#N/A,1.08,2.34,5.68,#N/A,4.77,#N/A,2.79,1.98,3.51,7.75,5.41,#N/A,#N/A,1.62,4.6331997,20.447998,#N/A,4.7223,#N/A,7.533,2.1384,11.6883,31.3875,19.476,#N/A,#N/A,1.7496,0.85,0.63,#N/A,0.21,#N/A,0.97,0.55,0.95,0.52,0.67,#N/A,#N/A,0.67,0.037513386,0.16556025,#N/A,0.0382348,#N/A,0.060992047,0.017313872,0.09463605,0.25413355,0.15769032,#N/A,#N/A,0.014165895,"Li,Ha,Wc,Fo,","Fo,Cl,Ba,", ,"Li,Ki,Fo,Be,", ,"Li,Ba,Cl,Be,Ba,","Li,Mb,Wc,Ba,","Li,Li,Cl,","Mb,Li,Ki,Ha,Ba,Fo,Cl,","Li,Ha,Wc,", , ,"Mb,Ha,Ba,","Ha,","Fo,Cl,Ba,", ,"Be,", ,"Li,Be,","Li,Mb,Ba,","Li,","Li,Ki,Ha,Fo,","Ha,Wc,", , ,"Mb,",4.68,0.81,#N/A,4.41,#N/A,2.7,6.67,5.41,5.41,7.75,#N/A,#N/A,6.67,5.68,10.81,#N/A,10.81,#N/A,8.02,6.04,12.07,8.02,4.41,#N/A,#N/A,4.41,1.98,3.6,#N/A,0.99,#N/A,2.7,1.08,3.33,7.75,5.41,#N/A,#N/A,1.08,2.34,5.68,#N/A,4.77,#N/A,2.79,1.98,3.51,4.05,3.6,#N/A,#N/A,1.62
2.48,#N/A,#N/A,0.83,3.38,#N/A,1.43,3.6,4.8,3.9,#N/A,#N/A,1.43,2.93,#N/A,#N/A,2.48,3.6,#N/A,2.1,3.83,9.23,5.56,#N/A,#N/A,1.43,7.2664003,#N/A,#N/A,2.0584,12.168,#N/A,3.0029998,13.787999,44.304,21.684,#N/A,#N/A,2.0449,0.85,#N/A,#N/A,0.33,0.94,#N/A,0.68,0.94,0.52,0.7,#N/A,#N/A,1,0.06700342,#N/A,#N/A,0.018980488,0.11220103,#N/A,0.027690636,0.12713903,0.40852684,0.19994798,#N/A,#N/A,0.018856006,"Ha,Cl,Wc,", , ,"Mb,Ha,Ba,","Li,Ki,Cl,", ,"Li,Mb,Cl,Ba,Wc,","Li,Di,","Mb,Ha,Di,Ki,Wc,Cl,","Li,Ha,Cl,", , ,"Li,Ha,Ba,","Ha,", , ,"Mb,","Li,Ki,", ,"Li,Mb,Ba,Wc,","Di,","Ha,Di,Cl,","Ha,Cl,", , ,"Ha,",0.23,#N/A,#N/A,0.23,8.93,#N/A,2.7,8.93,4.13,0.23,#N/A,#N/A,2.7,9.53,#N/A,#N/A,8.71,6.98,#N/A,8.71,3.15,3.15,3.15,#N/A,#N/A,10.81,2.48,#N/A,#N/A,2.48,3.6,#N/A,1.43,3.6,4.8,3.9,#N/A,#N/A,1.43,2.93,#N/A,#N/A,0.83,3.38,#N/A,2.1,3.83,9.23,5.56,#N/A,#N/A,1.43
2.51,#N/A,#N/A,0.97,#N/A,1.87,0.71,2.7,4.31,4.44,#N/A,#N/A,2.25,3.09,#N/A,#N/A,1.99,#N/A,2.7,0.97,3.6,7.14,4.5,#N/A,#N/A,2.51,7.7559,#N/A,#N/A,1.9303001,#N/A,5.0490003,0.6887,9.72,30.7734,19.98,#N/A,#N/A,5.6475,0.81,#N/A,#N/A,0.49,#N/A,0.69,0.73,0.75,0.6,0.99,#N/A,#N/A,0.9,0.095112145,#N/A,#N/A,0.023671655,#N/A,0.061916895,0.008445665,0.11919829,0.3773803,0.2450187,#N/A,#N/A,0.06925642,"Li,Cl,Ha,Wc,", , ,"Fo,Ba,Ha,", ,"Li,Ki,Cl,Ha,","Li,Fo,Cl,Ba,","Li,Fo,","Mb,Ki,Fo,Ba,Ha,Wc,","Li,Wc,", , ,"Li,Mb,Ba,","Ha,", , ,"Fo,", ,"Li,Ki,Cl,Ha,","Fo,Ba,","Fo,","Mb,Fo,","Li,Wc,", , ,"Mb,",6.5,#N/A,#N/A,5.53,#N/A,3.67,5.53,0.06,2.19,6.5,#N/A,#N/A,6.5,9.33,#N/A,#N/A,10.42,#N/A,9.72,9.72,9.72,2.57,2.57,#N/A,#N/A,7.08,2.51,#N/A,#N/A,0.97,#N/A,1.87,0.97,3.6,4.31,4.44,#N/A,#N/A,2.51,3.09,#N/A,#N/A,1.99,#N/A,2.7,0.71,2.7,7.14,4.5,#N/A,#N/A,2.25
2.61,4.59,#N/A,0.9,#N/A,3.6,1.53,2.97,5.14,4.5,#N/A,#N/A,1.53,2.97,4.86,#N/A,3.15,#N/A,4.05,1.53,3.96,7.3,6.85,#N/A,#N/A,2.97,7.7517,22.307402,#N/A,2.835,#N/A,14.58,2.3409,11.7612,37.522,30.824999,#N/A,#N/A,4.5441,0.88,0.94,#N/A,0.29,#N/A,0.89,1,0.75,0.7,0.66,#N/A,#N/A,0.52,0.052084748,0.14988653,#N/A,0.019048758,#N/A,0.09796504,0.015728831,0.079025134,0.25211552,0.20711744,#N/A,#N/A,0.030532436,"Wc,Ha,Fo,","Li,Ha,Cl,", ,"Ha,Be,Ba,", ,"Li,Ba,Ha,Ki,Cl,","Li,Mb,Wc,Ba,Fo,","Fo,Ba,Cl,","Mb,Ha,Fo,Ha,Be,Cl,","Li,Wc,Ha,", , ,"Mb,Ba,Ha,","Ha,","Ha,Cl,", ,"Be,", ,"Li,Ha,Ki,","Mb,Ba,Fo,","Fo,","Fo,Ha,","Wc,Ha,", , ,"Mb,",3.06,10.72,#N/A,12.16,#N/A,5.59,4.05,9.19,5.59,1.08,#N/A,#N/A,1.08,4.68,11.17,#N/A,10.27,#N/A,4.68,7.66,4.68,8.74,9.19,#N/A,#N/A,7.66,2.61,4.59,#N/A,3.15,#N/A,3.6,1.53,3.96,5.14,4.5,#N/A,#N/A,2.97,2.97,4.86,#N/A,0.9,#N/A,4.05,1.53,2.97,7.3,6.85,#N/A,#N/A,1.53
#N/A,2.46,0.82,0.82,#N/A,2.54,1.23,3.44,5.08,4.42,#N/A,#N/A,#N/A,#N/A,3.36,1.39,3.03,#N/A,3.36,1.97,3.77,7.78,6.96,#N/A,#N/A,#N/A,#N/A,8.2656,1.1398,2.4846,#N/A,8.5344,2.4231,12.968801,39.5224,30.7632,#N/A,#N/A,#N/A,#N/A,0.73,0.59,0.27,#N/A,0.76,0.62,0.91,0.65,0.64,#N/A,#N/A,#N/A,#N/A,0.07605265,0.010487419,0.022861065,#N/A,0.07852591,0.022295197,0.11932729,0.36364973,0.28305542,#N/A,#N/A,#N/A, ,"Ha,Cl,Cl,","Li,Mb,Ha,Cl,","Mb,Ha,Bx,Be,", ,"Li,Ki,Ha,Cl,","Fo,Bx,Cl,Be,Cl,","Li,Fo,","Mb,Fo,Ki,Bx,","Li,Bx,Cl,", , , , ,"Ha,","Mb,Ha,","Mb,", ,"Li,Ki,","Bx,Be,Cl,","Fo,","Fo,","Bx,Cl,", , , ,#N/A,1.8,4.83,1.8,#N/A,6.22,4.26,9.58,6.22,1.8,#N/A,#N/A,#N/A,#N/A,11.22,10.4,10.4,#N/A,11.22,11.22,11.22,3.44,3.44,#N/A,#N/A,#N/A,#N/A,2.46,1.39,3.03,#N/A,3.36,1.97,3.77,5.08,4.42,#N/A,#N/A,#N/A,#N/A,3.36,0.82,0.82,#N/A,2.54,1.23,3.44,7.78,6.96,#N/A,#N/A,#N/A
1.35,2.93,#N/A,0.9,3.04,#N/A,0.9,2.7,3.15,3.72,#N/A,#N/A,#N/A,2.14,3.83,#N/A,1.24,3.49,#N/A,1.35,3.04,7.55,4.73,#N/A,#N/A,#N/A,2.8890002,11.2219,#N/A,1.1159999,10.6096,#N/A,1.215,8.208,23.782501,17.5956,#N/A,#N/A,#N/A,0.63,0.77,#N/A,0.73,0.87,#N/A,0.67,0.89,0.42,0.79,#N/A,#N/A,#N/A,0.03376523,0.13115612,#N/A,0.013043265,0.12399985,#N/A,0.01420033,0.09593112,0.27795833,0.20564882,#N/A,#N/A,#N/A,"Ki,Ha,Cl,Cl,Ha,","Mb,Ha,Cl,", ,"Mb,Ha,Cl,Ha,","Li,Ki,", ,"Li,Ki,Ba,Cl,Ha,","Li,Di,Ba,Ha,","Di,Ki,Ha,Ha,Ba,","Cl,Cl,Cl,Ha,Ha,Be,", , , ,"Ha,Ha,","Ha,Cl,", ,"Ha,","Li,", ,"Li,Ba,","Li,","Di,Ki,Ha,","Ha,Ha,", , , ,7.21,10.7,#N/A,8.56,1.01,#N/A,7.21,4.5,1.01,9.8,#N/A,#N/A,#N/A,8.67,11.6,#N/A,10.81,8.67,#N/A,10.81,8.67,11.71,7.88,#N/A,#N/A,#N/A,1.35,3.83,#N/A,1.24,3.49,#N/A,1.35,2.7,7.55,4.73,#N/A,#N/A,#N/A,2.14,2.93,#N/A,0.9,3.04,#N/A,0.9,3.04,3.15,3.72,#N/A,#N/A,#N/A
2.61,4.41,#N/A,1.08,#N/A,3.6,1.08,3.06,5.23,4.5,#N/A,#N/A,#N/A,2.97,4.86,#N/A,3.15,#N/A,4.05,1.53,3.87,7.3,7.3,#N/A,#N/A,#N/A,7.7517,21.4326,#N/A,3.4020002,#N/A,14.58,1.6524,11.842199,38.179,32.850002,#N/A,#N/A,#N/A,0.88,0.91,#N/A,0.34,#N/A,0.89,0.71,0.79,0.72,0.62,#N/A,#N/A,#N/A,0.05230648,0.14462169,#N/A,0.022955824,#N/A,0.0983821,0.011149971,0.079908125,0.2576221,0.22166339,#N/A,#N/A,#N/A,"Cl,Ha,Fo,","Li,Ha,Cl,", ,"Mb,Ba,Ha,", ,"Li,Ba,Ha,Ki,Cl,","Li,Mb,Cl,Ba,Fo,","Fo,Cl,Ba,","Mb,Ha,Fo,Cl,Ha,Be,","Li,Cl,Ha,", , , ,"Ha,","Ha,Cl,", ,"Mb,", ,"Li,Ki,","Mb,Ba,","Fo,","Fo,Ha,","Cl,Ha,", , , ,3.06,10.72,#N/A,0.99,#N/A,5.68,4.14,9.28,5.5,0.99,#N/A,#N/A,#N/A,4.68,11.17,#N/A,7.66,#N/A,4.68,7.66,4.68,8.74,8.74,#N/A,#N/A,#N/A,2.61,4.41,#N/A,3.15,#N/A,3.6,1.53,3.87,5.23,4.5,#N/A,#N/A,#N/A,2.97,4.86,#N/A,1.08,#N/A,4.05,1.08,3.06,7.3,7.3,#N/A,#N/A,#N/A
1.65,4.8,1.35,1.2,#N/A,3.45,1.2,3.45,7.66,4.8,#N/A,#N/A,#N/A,2.1,5.11,1.8,3.75,#N/A,3.75,1.5,3.9,9.46,8.86,#N/A,#N/A,#N/A,3.4649997,24.528002,2.43,4.5,#N/A,12.9375,1.8000001,13.455001,72.4636,42.528,#N/A,#N/A,#N/A,0.79,0.94,0.75,0.32,#N/A,0.92,0.8,0.88,0.81,0.54,#N/A,#N/A,#N/A,0.01788437,0.12659968,0.012542287,0.023226457,#N/A,0.06677606,0.009290583,0.06944711,0.37401614,0.21950549,#N/A,#N/A,#N/A,"Fo,Ba,Cl,","Li,Cl,Bx,","Li,Be,Cl,Ki,Ki,Ha,","Be,Ki,Bx,", ,"Li,Ba,Cl,Cl,Bx,","Li,Ki,Bx,Cl,","Mb,Cl,Bx,Bx,Ha,Cl,","Mb,Be,Bx,Ha,Cl,Fo,Bx,","Li,Ki,Cl,Ba,Cl,Bx,", , , ,"Fo,","Cl,Bx,","Be,Ha,","Be,", ,"Li,Ba,Cl,Bx,","Li,Ki,Bx,Cl,","Ha,","Ha,Fo,","Ba,Cl,Bx,", , , ,2.1,12.16,10.36,10.96,#N/A,3.75,8.86,7.51,7.51,2.7,#N/A,#N/A,#N/A,20.12,8.86,12.61,8.86,#N/A,19.07,12.76,8.86,13.96,8.86,#N/A,#N/A,#N/A,1.65,4.8,1.8,1.2,#N/A,3.75,1.5,3.45,9.46,4.8,#N/A,#N/A,#N/A,2.1,5.11,1.35,3.75,#N/A,3.45,1.2,3.9,7.66,8.86,#N/A,#N/A,#N/A
